run_label,display_name,status,architecture_name,augmentation_name,image_size,epochs,learning_rate,batch_size,best_epoch,best_val_accuracy,best_val_loss,test_accuracy,test_loss,precision,recall,f1_score,macro_f1,weighted_f1,total_training_seconds,max_memory_allocated_mb,run_dir,error_message
D4_epochs_30,D4: 30 epochs,ok,resnet18,none,256,30,0.001,32,29,0.96875,0.10735397128722607,0.9703573145329274,0.10060080951322965,0.9715836526181354,0.9694170117871934,0.9704991229468984,0.9703566295784243,0.9703574743556449,5658.546702623,868.98291015625,cascade_resnet_experiments/exp4_epochs/D4_epochs_30,
D3_epochs_20,D3: 20 epochs,ok,resnet18,none,256,20,0.001,32,17,0.9647435897435898,0.10675165041899069,0.9636276237782406,0.10375543766796942,0.9625158831003812,0.9652755654667091,0.9638937490058852,0.9636256477071395,0.963627237155634,3738.2017066810004,825.0224609375,cascade_resnet_experiments/exp4_epochs/D3_epochs_20,
D2_epochs_15,D2: 15 epochs,ok,resnet18,none,256,15,0.001,32,14,0.9567307692307693,0.11138996329063024,0.959782086204134,0.1027311732823307,0.9691358024691358,0.9503026441541892,0.959626829660608,0.9597814914464253,0.9597805745282911,2828.236338076,781.43701171875,cascade_resnet_experiments/exp4_epochs/D2_epochs_15,
D1_epochs_10,D1: 10 epochs,ok,resnet18,none,256,10,0.001,32,10,0.9447115384615384,0.14984757556365086,0.946162473962506,0.1502063003053957,0.9470494417862839,0.9458426250398216,0.9464456487089576,0.9461609686843757,0.9461626564204612,1966.120984266,735.7265625,cascade_resnet_experiments/exp4_epochs/D1_epochs_10,
